Nombre del Producto	Tipo de Suelo	Espesor	Resistencia	Medidas (Ancho x Largo)	Precio por m²	Clima Adecuado	Características Adicionales
Suelo cerámico Peana efecto madera beige	Cerámico	-	C1	20,5 cm x 61,5 cm	9,99 Kit	Interiores secos y moderadamente húmedos	Efecto madera, ideal para interiores.
Suelo cerámico New Soneja efecto terracota teja	Cerámico	-	C1	33,33 cm x 33,33 cm	5,95 Kit	Interiores y exteriores	Efecto terracota, adecuado para ambientes rKitsticos.
Suelo cerámico Verna efecto madera roble	Cerámico	-	C1	20,5 cm x 61,5 cm	8,19 Kit	Interiores secos y moderadamente húmedos	Efecto madera roble, aporta calidez al espacio.
Suelo cerámico Denver efecto cemento gris	Cerámico	-	C1	45 cm x 45 cm	7,95 Kit	Interiores y exteriores	Efecto cemento, estilo industrial.
Suelo cerámico New Casablanca efecto mármol blanco brillante	Cerámico	-	-	45 cm x 45 cm	9,99 Kit	Interiores secos y moderadamente húmedos	Efecto mármol, acabado brillante para mayor elegancia.
Suelo cerámico Alcazar efecto hidrKitulico beige	Cerámico	-	C2	45 cm x 45 cm	11,99 Kit	Interiores y exteriores	Efecto hidrKitulico, diseKito vintage.
Suelo cerámico Montan efecto cemento gris	Cerámico	-	C1	33,33 cm x 33,33 cm	7,01 Kit	Interiores y exteriores	Efecto cemento, fácil mantenimiento.
Suelo cerámico Rainforest efecto madera gris	Cerámico	-	C1	20 cm x 60 cm	11,99 Kit	Interiores secos y moderadamente húmedos	Efecto madera gris, moderno y versítil.
Suelo cerámico New Pizarra efecto metal negro	Cerámico	-	C1	30,3 cm x 61,3 cm	22,99 Kit	Interiores y exteriores	Efecto metal negro, estilo contemporKitneo.
Suelo cerámico Rosas efecto cemento gris	Cerámico	-	C1	33,3 cm x 33,3 cm	8,95 Kit	Interiores y exteriores	Efecto cemento, resistente y durad
Suelo vinKitlico SPC clic Zaragoza Extrem efecto madera natural NAT340 ARTENS	VinKitlico SPC clic	4 mm	-	19 cm x 131 cm	19,99 Kit	Interiores en climas húmedos	Resistente al agua, ideal para zonas húmedas.
Suelo vinKitlico SPC clic Merida Extrem efecto madera natural BG235 ARTENS	VinKitlico SPC clic	4 mm	-	19 cm x 131 cm	19,37 Kit	Interiores en climas húmedos	Resistente al agua, efecto madera natural.
Suelo vinKitlico SPC clic Berlin Extrem efecto madera natural NAT348	VinKitlico SPC clic	4 mm	-	19 cm x 131 cm	15,99 Kit	Interiores en climas húmedos	Fácil instalación, resistente al agua.
Suelo vinKitlico SPC clic Granada Extrem efecto madera gris GR130 ARTENS	VinKitlico SPC clic	4 mm	-	19 cm x 131 cm	19,99 Kit	Interiores en climas húmedos	Efecto madera gris, adecuado para zonas húmedas.
Suelo vinKitlico SPC clic Wharton efecto madera natural beige NAT340 ARTENS	VinKitlico SPC clic	4 mm	-	19 cm x 131 cm	19,99 Kit	Interiores en climas húmedos	Efecto madera natural beige, resistente al agua.
Suelo vinKitlico SPC clic Glentana Extrem efecto madera oscura NAT340 ARTENS	VinKitlico SPC clic	4 mm	-	19 cm x 131 cm	21,99 Kit	Interiores en climas húmedos	Efecto madera oscura, alta resistencia.
Suelo vinKitlico SPC clic Sibai efecto baldosa piedra blanca BL000 ARTENS	VinKitlico SPC clic	4 mm	-	31 cm x 62 cm	25,99 Kit	Interiores en climas húmedos	Efecto baldosa piedra blanca, ideal para baños y cocinas.
Suelo vinKitlico SPC clic Telmen efecto madera natural BG215 ARTENS	VinKitlico SPC clic	4 mm	-	19 cm x 131 cm	24,99 Kit	Interiores en climas húmedos	Efecto madera natural, fácil mantenimiento.
Suelo vinKitlico SPC clic Comorat Extrem efecto cemento gris CER515 ARTENS	VinKitlico SPC clic	4 mm	-	31 cm x 62 cm	25,99 Kit	Interiores en climas húmedos	Efecto cemento gris, moderno y resistente.
Suelo vinKitlico SPC clic Bahia Extrem efecto baldosa hidrKitulica BL000 ARTENS	VinKitlico SPC clic	4 mm	-	31 cm x 62 cm	25,99 Kit	Interiores en climas húmedos	Efecto baldosa hidrKitulica, diseKito decorativo.
Suelo laminado Extrem 10mm Zaragoza efecto madera natural AC5 NAT340 ARTENS	Laminado	10 mm	AC5	19,2 cm x 128,5 cm	14,99 Kit	Interiores secos y moderadamente húmedos	Antideslizante, antibacteriano y antirrayaduras.
Suelo laminado Intenso 10mm Malte efecto madera natural AC5 NAT348 ARTENS	Laminado	10 mm	AC5	19,2 cm x 128,5 cm	13,99 Kit	Interiores secos y moderadamente húmedos	Alta resistencia al desgaste, ideal para zonas de alto trKitnsito.
Suelo laminado Extrem 10mm Macassar efecto madera gris AC5 GR135 ARTENS	Laminado	10 mm	AC5	19,2 cm x 128,5 cm	14,99 Kit	Interiores secos y moderadamente húmedos	Efecto madera gris, adecuado para ambientes modernos.
Suelo laminado Extrem 10mm Espiga Casual efecto madera natural AC6 NAT340	Laminado	10 mm	AC6	19,2 cm x 128,5 cm	24,99 Kit	Interiores secos y moderadamente húmedos	DiseKito en espiga, alta resistencia para uso intensivo.
Suelo laminado Intenso 8mm Dunmor efecto madera natural AC5 NAT365 ARTENS	Laminado	8 mm	AC5	19,2 cm x 128,5 cm	12,99 Kit	Interiores secos y moderadamente húmedos	Fácil instalación, ideal para uso dom²stico intensivo.
Suelo laminado Forte 7mm Torrevieja efecto madera blanca AC4 BL005 ARTENS	Laminado	7 mm	AC4	19,2 cm x 128,5 cm	9,99 Kit	Interiores secos y moderadamente húmedos	Efecto madera blanca, aporta luminosidad a los espacios.
Suelo laminado Intenso 8mm Jerez AC5 BG225 ARTENS	Laminado	8 mm	AC5	19,2 cm x 128,5 cm	10,99 Kit	Interiores secos y moderadamente húmedos	Alta resistencia al desgaste, adecuado para zonas de alto trKitnsito.
Suelo laminado Intenso 10mm Ronda AC5 MOD048 ARTENS	Laminado	10 mm	AC5	19,2 cm x 128,5 cm	14,99 Kit	Interiores secos y moderadamente húmedos	Efecto madera natural, ideal para uso dom²stico y comercial.
Suelo laminado Forte 8mm Belgrave efecto madera natural AC4 NAT315 ARTENS	Laminado	8 mm	AC4	19,2 cm x 128,5 cm	10,99 Kit	Interiores secos y moderadamente húmedos	Efecto madera natural, fácil mantenimiento.
Suelo laminado Intenso 8mm CKitceres efecto madera natural AC5 BG215 ARTENS	Laminado	8 mm	AC5	19,2 cm x 128,5 cm	10,99 Kit	Interiores secos y moderadamente húmedos	Resistente al desgaste, ideal para hogares con alta actividad.
Parquet multicapa Monolama Select XXL roble blanco natural mate	Parquet multicapa	14 mm	No aplica	25 cm x 219 cm	57,37 Kit	Interiores secos y moderadamente húmedos	Acabado mate, instalación en clic, biselado en 4 lados.
Parquet flotante Capri de roble	Parquet flotante	14 mm	No aplica	18 cm x 220 cm	66,79 Kit	Interiores secos y moderadamente húmedos	Superficie cepillada, acabado barnizado en tono caramelo, instalación en clic.
