id,categoria,nombre,marca,descripcion,unidad_medida,precio_unitario,tipo_suelo,resistencia_climática,facilidad_instalación,mantenimiento_requerido,compatible_calefacción_radiante,cumple_normativa_UE,precio_m2_estimado,recomendado_zonas_húmedas,moneda
1,Grava,BuildMaster Grava,BuildMaster,BuildMaster - Grava clasificada para construcción profesional,saco (25 kg),2.8,Mármol,Baja,Fácil,Bajo,Sí,True,5.6,Sí,EUR
2,Pintura,MasterBuild Pintura,MasterBuild,MasterBuild - Pintura uso profesional para construcción profesional,saco,44.79,Parquet,Media,Fácil,Alto,No,True,22.4,Sí,EUR
3,Cemento,HomeQuality Cemento,HomeQuality,HomeQuality - Cemento secado rápido para construcción profesional,saco (25 kg),4.5,Laminado,Baja,Media,Medio,Sí,True,9.0,No,EUR
4,Cable eléctrico,MaxiMaterials Cable eléctrico,MaxiMaterials,MaxiMaterials - Cable eléctrico resistente para construcción profesional,kg,450.08,Vinilo,Alta,Compleja,Alto,Sí,True,9001.6,No,EUR
5,Cable eléctrico,MasterBuild Cable eléctrico,MasterBuild,MasterBuild - Cable eléctrico alta calidad para construcción profesional,saco,935.04,Mármol,Baja,Fácil,Bajo,No,True,467.52,Sí,EUR
6,Pintura,BuildMaster Pintura,BuildMaster,BuildMaster - Pintura uso profesional para construcción profesional,saco,65.45,Mármol,Media,Fácil,Bajo,Sí,True,32.72,No,EUR
7,Madera,HomeBuilder Madera,HomeBuilder,HomeBuilder - Madera durable para construcción profesional,saco,448.39,Laminado,Alta,Compleja,Bajo,Sí,True,224.2,No,EUR
8,Impermeabilizantes,HomeBuilder Impermeabilizantes,HomeBuilder,HomeBuilder - Impermeabilizantes alta calidad para construcción profesional,saco,158.69,Cerámica,Media,Compleja,Alto,No,True,79.34,No,EUR
9,Cemento,BuildMaster Cemento,BuildMaster,BuildMaster - Cemento para interiores para construcción profesional,saco (25 kg),4.5,Cerámica,Media,Media,Medio,No,True,9.0,Sí,EUR
10,Cemento,BuildPro Cemento,BuildPro,BuildPro - Cemento para interiores para construcción profesional,saco (25 kg),4.5,Vinilo,Media,Compleja,Medio,No,True,9.0,No,EUR
11,Grava,BuildPro Grava,BuildPro,"BuildPro - Grava 1/2"" para construcción profesional",saco (25 kg),2.8,Mármol,Alta,Compleja,Medio,Sí,True,5.6,No,EUR
12,Cemento,MaxiMaterials Cemento,MaxiMaterials,MaxiMaterials - Cemento para interiores para construcción profesional,saco (25 kg),4.5,Piedra Natural,Baja,Media,Bajo,No,True,9.0,Sí,EUR
13,Varillas,ProConstruct Varillas,ProConstruct,ProConstruct - Varillas durable para construcción profesional,saco,122.01,Laminado,Baja,Compleja,Bajo,Sí,True,61.0,No,EUR
14,Tornillos,HomeQuality Tornillos,HomeQuality,HomeQuality - Tornillos alta calidad para construcción profesional,m³,377.58,Cerámica,Baja,Media,Bajo,No,True,377.58,Sí,EUR
15,Ladrillos,ProConstruct Ladrillos,ProConstruct,ProConstruct - Ladrillos refractario para construcción profesional,kg,190.64,Laminado,Media,Media,Medio,Sí,True,3812.8,Sí,EUR
16,Madera,BuildMaster Madera,BuildMaster,BuildMaster - Madera alta calidad para construcción profesional,saco,297.54,Vinilo,Baja,Compleja,Medio,No,True,148.77,Sí,EUR
17,Tubería,BuildMaster Tubería,BuildMaster,BuildMaster - Tubería uso profesional para construcción profesional,metro lineal,946.4,Piedra Natural,Baja,Fácil,Bajo,Sí,True,946.4,Sí,EUR
18,Impermeabilizantes,EliteTools Impermeabilizantes,EliteTools,EliteTools - Impermeabilizantes resistente para construcción profesional,rollo,888.35,Parquet,Baja,Media,Bajo,No,True,888.35,No,EUR
19,Tubería,BuildPro Tubería,BuildPro,BuildPro - Tubería alta calidad para construcción profesional,saco,801.17,Piedra Natural,Baja,Media,Bajo,No,True,400.58,No,EUR
20,Tornillos,MaxiMaterials Tornillos,MaxiMaterials,MaxiMaterials - Tornillos alta calidad para construcción profesional,metro lineal,904.39,Mármol,Alta,Media,Alto,Sí,True,904.39,No,EUR
21,Varillas,ConstructTech Varillas,ConstructTech,ConstructTech - Varillas alta calidad para construcción profesional,kg,749.09,Laminado,Alta,Compleja,Bajo,Sí,True,14981.8,Sí,EUR
22,Grava,HomeBuilder Grava,HomeBuilder,"HomeBuilder - Grava 3/4"" para construcción profesional",saco (25 kg),2.8,Parquet,Baja,Compleja,Medio,No,True,5.6,No,EUR
23,Varillas,HomeBuilder Varillas,HomeBuilder,HomeBuilder - Varillas durable para construcción profesional,unidad,135.89,Cerámica,Alta,Fácil,Medio,No,True,135.89,No,EUR
24,Cemento,ConstructTech Cemento,ConstructTech,ConstructTech - Cemento para interiores para construcción profesional,saco (25 kg),4.5,Vinilo,Baja,Fácil,Bajo,No,True,9.0,No,EUR
25,Varillas,ProConstruct Varillas,ProConstruct,ProConstruct - Varillas alta calidad para construcción profesional,m³,98.44,Mármol,Baja,Media,Medio,No,True,98.44,Sí,EUR
26,Impermeabilizantes,HomeQuality Impermeabilizantes,HomeQuality,HomeQuality - Impermeabilizantes durable para construcción profesional,metro lineal,148.59,Cerámica,Alta,Fácil,Alto,No,True,148.59,Sí,EUR
27,Arena,MaxiMaterials Arena,MaxiMaterials,MaxiMaterials - Arena lavada para construcción profesional,saco (25 kg),2.5,Vinilo,Media,Fácil,Bajo,No,True,5.0,Sí,EUR
28,Ladrillos,HomeBuilder Ladrillos,HomeBuilder,HomeBuilder - Ladrillos macizo para construcción profesional,m²,221.69,Piedra Natural,Media,Compleja,Medio,No,True,221.69,No,EUR
29,Clavos,EliteTools Clavos,EliteTools,EliteTools - Clavos alta calidad para construcción profesional,saco,369.76,Parquet,Media,Fácil,Bajo,Sí,True,184.88,Sí,EUR
30,Varillas,MaxiMaterials Varillas,MaxiMaterials,MaxiMaterials - Varillas resistente para construcción profesional,kg,754.14,Parquet,Baja,Fácil,Medio,Sí,True,15082.8,Sí,EUR
31,Tornillos,EliteTools Tornillos,EliteTools,EliteTools - Tornillos resistente para construcción profesional,saco,868.43,Parquet,Media,Media,Medio,No,True,434.22,No,EUR
32,Impermeabilizantes,Construmax Impermeabilizantes,Construmax,Construmax - Impermeabilizantes durable para construcción profesional,metro lineal,770.08,Piedra Natural,Alta,Media,Alto,Sí,True,770.08,Sí,EUR
33,Pintura,ConstructTech Pintura,ConstructTech,ConstructTech - Pintura durable para construcción profesional,kg,462.73,Mármol,Baja,Media,Alto,Sí,True,9254.6,No,EUR
34,Tornillos,ProConstruct Tornillos,ProConstruct,ProConstruct - Tornillos uso profesional para construcción profesional,rollo,712.96,Piedra Natural,Alta,Compleja,Alto,Sí,True,712.96,No,EUR
35,Pintura,Construmax Pintura,Construmax,Construmax - Pintura durable para construcción profesional,rollo,850.54,Laminado,Media,Media,Alto,No,True,850.54,No,EUR
36,Selladores,ConstructTech Selladores,ConstructTech,ConstructTech - Selladores durable para construcción profesional,rollo,435.76,Piedra Natural,Baja,Fácil,Alto,No,True,435.76,Sí,EUR
37,Arena,ProConstruct Arena,ProConstruct,ProConstruct - Arena gruesa para construcción profesional,saco (25 kg),2.5,Laminado,Media,Media,Alto,Sí,True,5.0,Sí,EUR
38,Ladrillos,HomeBuilder Ladrillos,HomeBuilder,HomeBuilder - Ladrillos térmico para construcción profesional,m²,487.68,Mármol,Media,Media,Alto,No,True,487.68,No,EUR
39,Impermeabilizantes,ProConstruct Impermeabilizantes,ProConstruct,ProConstruct - Impermeabilizantes resistente para construcción profesional,m³,363.03,Mármol,Baja,Fácil,Alto,Sí,True,363.03,Sí,EUR
40,Azulejos,HomeQuality Azulejos,HomeQuality,HomeQuality - Azulejos uso profesional para construcción profesional,metro lineal,69.03,Vinilo,Alta,Media,Alto,Sí,True,69.03,No,EUR
41,Selladores,HomeQuality Selladores,HomeQuality,HomeQuality - Selladores uso profesional para construcción profesional,unidad,929.51,Cerámica,Alta,Media,Alto,Sí,True,929.51,Sí,EUR
42,Cemento,HomeBuilder Cemento,HomeBuilder,HomeBuilder - Cemento secado rápido para construcción profesional,saco (25 kg),4.5,Cerámica,Alta,Compleja,Alto,No,True,9.0,No,EUR
43,Ladrillos,ConstructTech Ladrillos,ConstructTech,ConstructTech - Ladrillos macizo para construcción profesional,rollo,986.71,Piedra Natural,Media,Compleja,Medio,Sí,True,986.71,Sí,EUR
44,Impermeabilizantes,BuildMaster Impermeabilizantes,BuildMaster,BuildMaster - Impermeabilizantes alta calidad para construcción profesional,unidad,887.66,Parquet,Baja,Compleja,Bajo,No,True,887.66,No,EUR
45,Tornillos,Construmax Tornillos,Construmax,Construmax - Tornillos alta calidad para construcción profesional,litro,875.06,Piedra Natural,Media,Compleja,Alto,Sí,True,875.06,Sí,EUR
46,Selladores,HomeQuality Selladores,HomeQuality,HomeQuality - Selladores resistente para construcción profesional,m³,652.64,Mármol,Baja,Fácil,Alto,No,True,652.64,No,EUR
47,Clavos,ConstructTech Clavos,ConstructTech,ConstructTech - Clavos uso profesional para construcción profesional,saco,618.6,Laminado,Media,Media,Medio,No,True,309.3,No,EUR
48,Arena,ConstructTech Arena,ConstructTech,ConstructTech - Arena para concreto para construcción profesional,saco (25 kg),2.5,Mármol,Media,Compleja,Bajo,Sí,True,5.0,Sí,EUR
49,Bloques,Construmax Bloques,Construmax,Construmax - Bloques divisorio para construcción profesional,m³,74.77,Parquet,Baja,Fácil,Alto,No,True,74.77,No,EUR
50,Arena,ProConstruct Arena,ProConstruct,ProConstruct - Arena fina para construcción profesional,saco (25 kg),2.5,Parquet,Baja,Compleja,Alto,Sí,True,5.0,Sí,EUR
51,Clavos,MaxiMaterials Clavos,MaxiMaterials,MaxiMaterials - Clavos durable para construcción profesional,m³,792.89,Laminado,Baja,Compleja,Bajo,No,True,792.89,No,EUR
52,Azulejos,ProConstruct Azulejos,ProConstruct,ProConstruct - Azulejos durable para construcción profesional,rollo,871.43,Laminado,Baja,Compleja,Bajo,No,True,871.43,No,EUR
53,Varillas,HomeQuality Varillas,HomeQuality,HomeQuality - Varillas uso profesional para construcción profesional,m³,219.65,Parquet,Alta,Compleja,Alto,Sí,True,219.65,No,EUR
54,Pintura,BuildPro Pintura,BuildPro,BuildPro - Pintura uso profesional para construcción profesional,kg,626.5,Mármol,Baja,Compleja,Bajo,No,True,12530.0,Sí,EUR
55,Ladrillos,BuildMaster Ladrillos,BuildMaster,BuildMaster - Ladrillos térmico para construcción profesional,metro lineal,827.13,Parquet,Alta,Media,Medio,Sí,True,827.13,Sí,EUR
56,Tornillos,MaxiMaterials Tornillos,MaxiMaterials,MaxiMaterials - Tornillos durable para construcción profesional,m²,103.49,Vinilo,Media,Media,Bajo,No,True,103.49,No,EUR
57,Cable eléctrico,EliteTools Cable eléctrico,EliteTools,EliteTools - Cable eléctrico durable para construcción profesional,m³,899.47,Mármol,Alta,Media,Medio,No,True,899.47,No,EUR
58,Cable eléctrico,HomeBuilder Cable eléctrico,HomeBuilder,HomeBuilder - Cable eléctrico durable para construcción profesional,metro lineal,834.97,Laminado,Media,Fácil,Alto,No,True,834.97,Sí,EUR
59,Cemento,ConstructTech Cemento,ConstructTech,ConstructTech - Cemento secado rápido para construcción profesional,saco (25 kg),4.5,Vinilo,Media,Compleja,Medio,Sí,True,9.0,No,EUR
60,Varillas,EliteTools Varillas,EliteTools,EliteTools - Varillas alta calidad para construcción profesional,m³,507.32,Parquet,Media,Media,Bajo,No,True,507.32,Sí,EUR
61,Tubería,ConstructTech Tubería,ConstructTech,ConstructTech - Tubería alta calidad para construcción profesional,rollo,115.63,Cerámica,Media,Compleja,Alto,Sí,True,115.63,Sí,EUR
62,Selladores,MasterBuild Selladores,MasterBuild,MasterBuild - Selladores uso profesional para construcción profesional,m³,429.27,Piedra Natural,Media,Media,Bajo,No,True,429.27,No,EUR
63,Bloques,MaxiMaterials Bloques,MaxiMaterials,MaxiMaterials - Bloques ligero para construcción profesional,kg,389.61,Parquet,Media,Fácil,Bajo,No,True,7792.2,No,EUR
64,Grava,EliteTools Grava,EliteTools,"EliteTools - Grava 3/4"" para construcción profesional",saco (25 kg),2.8,Cerámica,Media,Compleja,Medio,Sí,True,5.6,Sí,EUR
65,Madera,EliteTools Madera,EliteTools,EliteTools - Madera resistente para construcción profesional,kg,55.43,Parquet,Baja,Fácil,Medio,Sí,True,1108.6,Sí,EUR
66,Pintura,Construmax Pintura,Construmax,Construmax - Pintura durable para construcción profesional,metro lineal,765.72,Mármol,Media,Media,Bajo,Sí,True,765.72,Sí,EUR
67,Selladores,Construmax Selladores,Construmax,Construmax - Selladores durable para construcción profesional,litro,569.6,Vinilo,Media,Compleja,Bajo,No,True,569.6,No,EUR
68,Ladrillos,Construmax Ladrillos,Construmax,Construmax - Ladrillos térmico para construcción profesional,litro,645.99,Piedra Natural,Media,Fácil,Medio,Sí,True,645.99,No,EUR
69,Varillas,HomeBuilder Varillas,HomeBuilder,HomeBuilder - Varillas uso profesional para construcción profesional,rollo,734.05,Parquet,Baja,Compleja,Alto,Sí,True,734.05,No,EUR
70,Tubería,BuildPro Tubería,BuildPro,BuildPro - Tubería durable para construcción profesional,metro lineal,754.75,Parquet,Media,Compleja,Bajo,No,True,754.75,No,EUR
71,Pintura,Construmax Pintura,Construmax,Construmax - Pintura uso profesional para construcción profesional,rollo,404.06,Mármol,Media,Fácil,Bajo,No,True,404.06,No,EUR
72,Varillas,HomeQuality Varillas,HomeQuality,HomeQuality - Varillas resistente para construcción profesional,litro,70.38,Piedra Natural,Baja,Fácil,Bajo,Sí,True,70.38,Sí,EUR
73,Tornillos,ProConstruct Tornillos,ProConstruct,ProConstruct - Tornillos durable para construcción profesional,metro lineal,770.42,Laminado,Baja,Fácil,Alto,Sí,True,770.42,Sí,EUR
74,Clavos,HomeQuality Clavos,HomeQuality,HomeQuality - Clavos durable para construcción profesional,litro,59.41,Laminado,Alta,Media,Alto,Sí,True,59.41,No,EUR
75,Madera,ConstructTech Madera,ConstructTech,ConstructTech - Madera alta calidad para construcción profesional,unidad,781.89,Mármol,Media,Media,Bajo,Sí,True,781.89,Sí,EUR
76,Clavos,BuildMaster Clavos,BuildMaster,BuildMaster - Clavos alta calidad para construcción profesional,litro,823.12,Parquet,Baja,Compleja,Alto,No,True,823.12,No,EUR
77,Madera,MaxiMaterials Madera,MaxiMaterials,MaxiMaterials - Madera durable para construcción profesional,litro,344.57,Laminado,Alta,Compleja,Medio,Sí,True,344.57,No,EUR
78,Bloques,ConstructTech Bloques,ConstructTech,ConstructTech - Bloques pesado para construcción profesional,m²,564.09,Parquet,Baja,Compleja,Alto,Sí,True,564.09,Sí,EUR
79,Impermeabilizantes,BuildMaster Impermeabilizantes,BuildMaster,BuildMaster - Impermeabilizantes uso profesional para construcción profesional,kg,720.17,Vinilo,Alta,Media,Medio,Sí,True,14403.4,No,EUR
80,Cemento,ConstructTech Cemento,ConstructTech,ConstructTech - Cemento secado rápido para construcción profesional,saco (25 kg),4.5,Piedra Natural,Alta,Fácil,Alto,No,True,9.0,No,EUR
81,Arena,HomeQuality Arena,HomeQuality,HomeQuality - Arena lavada para construcción profesional,saco (25 kg),2.5,Laminado,Alta,Fácil,Bajo,No,True,5.0,Sí,EUR
82,Pintura,ProConstruct Pintura,ProConstruct,ProConstruct - Pintura alta calidad para construcción profesional,unidad,86.01,Vinilo,Baja,Compleja,Medio,Sí,True,86.01,Sí,EUR
83,Impermeabilizantes,HomeBuilder Impermeabilizantes,HomeBuilder,HomeBuilder - Impermeabilizantes alta calidad para construcción profesional,rollo,82.94,Piedra Natural,Media,Media,Bajo,Sí,True,82.94,No,EUR
84,Cable eléctrico,MasterBuild Cable eléctrico,MasterBuild,MasterBuild - Cable eléctrico uso profesional para construcción profesional,m³,245.46,Piedra Natural,Alta,Media,Medio,No,True,245.46,No,EUR
85,Grava,Construmax Grava,Construmax,"Construmax - Grava 3/4"" para construcción profesional",saco (25 kg),2.8,Piedra Natural,Media,Fácil,Medio,Sí,True,5.6,No,EUR
86,Varillas,BuildPro Varillas,BuildPro,BuildPro - Varillas resistente para construcción profesional,m³,565.88,Parquet,Alta,Media,Medio,Sí,True,565.88,Sí,EUR
